PCS Farm Road ,"4.5"" x 6""",1995,Pastels,210,Field and Lakes,,41,,,
PCS Farm Road 2,"4.5"" x 6""",1995,Pastels,210,Field and Lakes,,47,,,
PCS Organic Farm Stand,"4.5"" x 6""",1995,Pastels,210,Field and Lakes,,62,,,
PCS Summer Camp Bridge,"4.5"" x 6""",1996,Pastels,210,Field and Lakes,,,,,
Ocky Cabin,"4"" x 5.5""",2007,Pastels,,Field and Lakes,,209,,,
PCS Farm Gate,"5"" x 6""",1995,Pastels,210,Field and Lakes,,44,,,
PCS Fishing Camp Fall 2,"5"" x 6""",1995,Pastels,210,Field and Lakes,,,,,
New Jersey Farm 1,"6.5"" x 8""",1991,Pastels,210,Field and Lakes,,14,,,
PCS Farm Road 3,"6"" x 5""",1995,Pastels,210,Field and Lakes,,43,,,
River Reflections 1,"7"" x 10""",2012,Pastels,400,Field and Lakes,,446,,,
River Reflections 2,"7"" x 10""",2012,Pastels,400,Field and Lakes,,447,,,
Millstone Watershed Pond,"7"" x 9""",1998,Pastels,210,Field and Lakes,,,,,
NJ Farm,"7"" x 9""",1996,Pastels,210,Field and Lakes,,,,,
NJ Farm House,"7"" x 9""",1996,Pastels,210,Field and Lakes,,,,,
Swimming Area Boundries,"7"" x 9""",2008,Acrylic,,Field and Lakes,,,,,
The Lake at Ocky,"8"" X 10""",2008,Acrylic,,Field and Lakes,,,,,
7 16 09 Morning,"8"" x 10"" mat",2009,Watercolor,210,Field and Lakes,,,,,
7 23 09 Morning,"8"" x 10"" mat",2009,Watercolor,210,Field and Lakes,,,,,
7 24 09 Morning,"8"" x 10"" mat",2009,Watercolor,210,Field and Lakes,,,,,
7 24 09 Sunset,"8"" x 10"" mat",2009,Watercolor,210,Field and Lakes,,,,,
Ocky Dock,"8"" x 10"" mat",2007,,,Field and Lakes,,,,,
Ocky Dock 2,"8"" x 10"" mat",2007,,,Field and Lakes,,,,,
Ocky Fall Dock,"8"" x 10"" mat",2007,Watercolor,210,Field and Lakes,,,,,
ss 2008 i,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 ii,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 iii,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 iv,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 ix,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 v,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 vi,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 vii,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 viii,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 x,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 xi,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 xii,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 xiii,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 XIX,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 xv,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
ss 2008 xvi,"8"" x 10"" mat",2008,,210,Field and Lakes,,,,,
St Mary's Co. Barn,"8"" x 10"" mat",1976,Watercolor on paper,210,Field and Lakes,,,,,
New Jersey Farm House ,"9.5"" x 12""",1991,Pastels,400,Field and Lakes,,16,,,
Empty box Creek,"9"" x 12""",,Pastels,400,Field and Lakes,,,,,
Summer Camp,"9"" x 13""",2008,Acrylic,,Field and Lakes,,,,,
The Encounter in the Woods,2008,,Pastels,sold,Forest Path,,,,,
Grid Landscape,2013,,Watercolor on paper,250,Forest Path,,,,,
Mike's Waterfall on the AT,"10 1/2"" x 13 1/2""",2020,Mono print,400,Forest Path,,,,,
Autumn Reflections,"10"" x 10""",2019,Acrylic,sold,Forest Path,,,,,
Moss NH,"10"" x 10""",2019,Acrylic,260,Forest Path,,,,,
Roosevelt Woods,"10"" x 10""",2017,Acrylic,260,Forest Path,,,,,
Tillman Ravine Fall Stream,"10"" x 10""",2016,Acrylic,sold,Forest Path,,,,,
Tillman Ravine Fall Stream 2,"10"" x 10""",2016,Acrylic,260,Forest Path,,,,,
Tillman Ravine Fall Stream 3,"10"" x 10""",2016,Acrylic,sold,Forest Path,,,,,
Tillman Ravine Fall Stream 4,"10"" x 10""",2016,Acrylic,sold,Forest Path,,,,,
Tillman Ravine Fall Stream 5,"10"" x 10""",2016,Acrylic,sold,Forest Path,,,,,
New Jersey Stream,"10"" x 13""",2000,Pastels,325,Forest Path,,190,,,
Deer in the Woods,"10"" x 8"" mat",2012,Pastels,250,Forest Path,,,,,
A Walk in the Woods,"11"" x 14""",,Acrylic,sold,Forest Path,,,,,
Forest Bathing,"11"" x 14""",2014,Acrylic,400,Forest Path,,,,,
NJ Woods Walk,"11"" x 14""",2001,Pastels,400,Forest Path,,213,,,
NJ Woods Walk 2,"11"" x 14""",1998,Pastels,400,Forest Path,,,,,
Sunrise Mountain,"11"" x 14""",,Watercolor on paper,400,Forest Path,,,,,
Woodland Path,"11"" x 14""",2018,Acrylic,400,Forest Path,,,,,
"Delaware Water Gap, Fall Woods","11"" x 14"" mat",,Watercolor,sold,Forest Path,,,,,
Emerald Pool Plein Aire,"11"" X 14"" mat",,Watercolor,400,Forest Path,,,,,
Fall Mountain Stream,"11"" x 14"" mat",,Watercolor on paper,400,Forest Path,,,,,
New Jersey Stream 1,"11"" x 14"" mat",2000,Pastels,400,Forest Path,,,,,
North NJ Trout Stream Bridge 2,"11"" x 14"" mat",2000,Pastels,400,Forest Path,,,,,
Sunset Pikes Peak,"11"" x 14"" mat",2008,colored pencil,300,Forest Path,,,,,
Fall Ferns,"12"" x 16""",2020,Acrylic,500,Forest Path,,,,,
Path to Emerald Pool 2,"12"" x 16""",2019,Acrylic,500,Forest Path,,,,,
NJ Trout Stream 3,"16"" x 20""",1998,Pastels,800,Forest Path,,309,,,
